County,State,Population,ALAND_SQMI,PopulationDensity,Temp
Marengo County,Alabama,"18,863",976.893,19,66.0667
Dallas County,Alabama,"37,196",978.738,38,67.125
Monroe County,Alabama,"20,733",1025.669,20,67.95
Covington County,Alabama,"37,049",1030.559,36,67.8583
Jackson County,Alabama,"51,626",1077.987,48,61.1083
Washington County,Alabama,"16,326",1080.206,15,67.1333
Jefferson County,Alabama,"658,573",1111.415,593,64.4583
Mobile County,Alabama,"413,210",1229.41,336,68.8167
Clarke County,Alabama,"23,622",1238.42,19,67.025
Tuscaloosa County,Alabama,"209,355",1320.859,158,64.825
Baldwin County,Alabama,"223,234",1589.823,140,68.8333
Skagway Municipality,Alaska,"1,183",433.933,3,32.9583
Bristol Bay Borough,Alaska,836,481.981,2,41.4417
Anchorage Municipality,Alaska,"288,000",1706.8,169,36.5917
Haines Borough,Alaska,"2,530",2344.527,1,35.6667
Wrangell City and Borough,Alaska,"2,502",2555.995,1,41.025
Juneau City and Borough,Alaska,"31,974",2703.976,12,35.825
Sitka City and Borough,Alaska,"8,493",2870.015,3,42.15
Petersburg Borough,Alaska,"3,266",2900.654,1,37.7833
Aleutians West Census Area,Alaska,"5,634",4394.448,1,41.3833
Ketchikan Gateway Borough,Alaska,"13,901",4856.925,3,41.4167
Prince of Wales-Hyder Census Area,Alaska,"6,203",5263.768,1,44.0083
Hoonah-Angoon Census Area,Alaska,"2,148",6556.473,0,38.8333
Kodiak Island Borough,Alaska,"12,998",6615.364,2,42.5083
Aleutians East Borough,Alaska,"3,337",6985.168,0,42.2417
Fairbanks North Star Borough,Alaska,"96,849",7329.588,13,31.775
Yakutat City and Borough,Alaska,579,7623.278,0,36.4417
Denali Borough,Alaska,"2,097",12636.961,0,30.7833
Kenai Peninsula Borough,Alaska,"58,708",16023.191,4,38.0417
Kusilvak Census Area,Alaska,"8,314",17074.217,0,35.0583
Dillingham Census Area,Alaska,"4,916",18331.641,0,39.3083
Nome Census Area,Alaska,"10,004",22970.019,0,30.75
Lake and Peninsula Borough,Alaska,"1,592",23904.724,0,40.6
Matanuska-Susitna Borough,Alaska,"108,317",24714.116,4,33.125
Southeast Fairbanks Census Area,Alaska,"6,893",24822.785,0,28.8417
Valdez-Cordova Census Area,Alaska,"9,202",34221.861,0,0
Northwest Arctic Borough,Alaska,"7,621",35663.959,0,28.625
Bethel Census Area,Alaska,"18,386",40630.621,0,36.375
North Slope Borough,Alaska,"9,832",88824.445,0,21.4583
Yukon-Koyukuk Census Area,Alaska,"5,230",145575.515,0,29.9167
Santa Cruz County,Arizona,"46,498",1236.235,38,60.3333
Greenlee County,Arizona,"9,498",1842.141,5,57.025
La Paz County,Arizona,"21,108",4496.358,5,70.975
Graham County,Arizona,"38,837",4621.877,8,61.2583
Gila County,Arizona,"54,018",4757.996,11,59.8333
Pinal County,Arizona,"462,789",5366.047,86,68.9333
Yuma County,Arizona,"213,787",5513.839,39,72.15
Cochise County,Arizona,"125,922",6209.749,20,61.125
Yavapai County,Arizona,"235,099",8123.098,29,59.2583
Pima County,Arizona,"1,047,279",9188.69,114,67.6167
Maricopa County,Arizona,"4,485,414",9200.669,488,70.525
Navajo County,Arizona,"110,924",9950.053,11,51.975
Apache County,Arizona,"71,887",11197.749,6,50.4583
Mohave County,Arizona,"212,181",13331.861,16,61.825
Coconino County,Arizona,"143,476",18616.784,8,52.5417
St. Francis County,Arkansas,"24,994",634.759,39,62.425
Lafayette County,Arkansas,"6,624",528.295,13,63.9917
Sebastian County,Arkansas,"127,827",531.169,241,61.25
Little River County,Arkansas,"12,259",532.246,23,63.3833
Perry County,Arkansas,"10,455",551.559,19,61.4917
Conway County,Arkansas,"20,846",552.276,38,60.925
Cleburne County,Arkansas,"24,919",553.701,45,59.5417
Baxter County,Arkansas,"41,932",554.251,76,57.7
Lincoln County,Arkansas,"13,024",561.541,23,63.4917
Sevier County,Arkansas,"17,007",565.305,30,62.5917
Greene County,Arkansas,"45,325",577.688,78,59.85
Izard County,Arkansas,"13,629",580.595,23,57.9917
Woodruff County,Arkansas,"6,320",586.786,11,61.5583
Lawrence County,Arkansas,"16,406",587.614,28,59.3667
Howard County,Arkansas,"13,202",588.567,22,61.8
Boone County,Arkansas,"37,432",589.995,63,57.2667
Crawford County,Arkansas,"63,257",593.767,107,59.9417
Marion County,Arkansas,"16,694",596.957,28,57.5083
Cleveland County,Arkansas,"7,956",597.779,13,62.9667
Pike County,Arkansas,"10,718",600.625,18,61.7
Lee County,Arkansas,"8,857",602.621,15,62.7667
Sharp County,Arkansas,"17,442",604.405,29,58.4083
Stone County,Arkansas,"12,506",606.472,21,58.0833
Monroe County,Arkansas,"6,701",607.133,11,62.775
Franklin County,Arkansas,"17,715",608.848,29,59.6917
Crittenden County,Arkansas,"47,955",610.382,79,62.575
Hot Spring County,Arkansas,"33,771",615.29,55,62.3917
Cross County,Arkansas,"16,419",616.382,27,61.875
Nevada County,Arkansas,"8,252",617.843,13,63.1083
Fulton County,Arkansas,"12,477",618.188,20,57.775
Miller County,Arkansas,"43,257",625.732,69,64.15
Calhoun County,Arkansas,"5,189",628.565,8,63.5
Carroll County,Arkansas,"28,380",630.051,45,57.4333
Grant County,Arkansas,"18,265",631.812,29,62.425
Jackson County,Arkansas,"16,719",633.837,26,60.3667
Clay County,Arkansas,"14,551",639.468,23,59.5083
Chicot County,Arkansas,"10,118",644.727,16,64.7083
Prairie County,Arkansas,"8,062",647.869,12,62.3167
Faulkner County,Arkansas,"126,007",647.957,194,61.0667
Bradley County,Arkansas,"10,763",649.236,17,64.3083
Randolph County,Arkansas,"17,958",652.224,28,58.9083
Johnson County,Arkansas,"26,578",659.841,40,59.1083
Searcy County,Arkansas,"7,881",666.009,12,57.4083
Dallas County,Arkansas,"7,009",667.386,11,62.6917
Garland County,Arkansas,"99,386",677.619,147,61.6833
Phillips County,Arkansas,"17,782",695.628,26,63.275
Craighead County,Arkansas,"110,332",707.303,156,60.5
Logan County,Arkansas,"21,466",708.272,30,60.675
Van Buren County,Arkansas,"16,545",709.75,23,58.75
Saline County,Arkansas,"122,437",723.574,169,61.675
Hempstead County,Arkansas,"21,532",727.521,30,62.9083
Ouachita County,Arkansas,"23,382",732.783,32,63.15
Poinsett County,Arkansas,"23,528",758.362,31,61.1667
Pulaski County,Arkansas,"391,911",758.436,517,61.7917
Independence County,Arkansas,"37,825",764.025,50,59.5417
Columbia County,Arkansas,"23,457",765.983,31,63.6667
Desha County,Arkansas,"11,361",768.135,15,63.9417
Lonoke County,Arkansas,"73,309",771.374,95,62.25
Montgomery County,Arkansas,"8,986",779.92,12,61.0917
Pope County,Arkansas,"64,072",812.516,79,59.65
Newton County,Arkansas,"7,753",820.904,9,56.825
Drew County,Arkansas,"18,219",828.378,22,64.2167
Madison County,Arkansas,"16,576",834.259,20,56.9417
Benton County,Arkansas,"279,141",847.901,329,58.0167
Polk County,Arkansas,"19,964",857.48,23,60.1167
Clark County,Arkansas,"22,320",866.077,26,62.9
Jefferson County,Arkansas,"66,824",870.052,77,62.7167
Scott County,Arkansas,"10,281",892.366,12,60.575
Mississippi County,Arkansas,"40,651",900.576,45,61.5333
Ashley County,Arkansas,"19,657",925.359,21,65.0667
Yell County,Arkansas,"21,341",930.104,23,61.1583
Washington County,Arkansas,"239,187",941.977,254,57.8667
Arkansas County,Arkansas,"17,486",988.813,18,63.3667
White County,Arkansas,"78,753",1035.074,76,61.4
Union County,Arkansas,"38,682",1039.254,37,64.4417
San Francisco County,California,"881,549",46.903,18795,58.0333
Santa Cruz County,California,"273,213",445.097,614,58.5667
San Mateo County,California,"766,573",448.634,1709,58.0417
Marin County,California,"258,826",520.446,497,56.9
Amador County,California,"39,752",594.572,67,57.8083
Sutter County,California,"96,971",602.53,161,63.3583
Yuba County,California,"78,668",632.016,124,60.8833
Contra Costa County,California,"1,153,526",717.08,1609,60.625
Alameda County,California,"1,671,329",737.306,2267,59.6833
Alpine County,California,"1,129",738.34,2,43.4667
Napa County,California,"137,744",748.261,184,59.9917
Orange County,California,"3,175,692",792.81,4006,63.8917
Solano County,California,"447,643",821.814,545,61.6667
Sierra County,California,"3,005",953.168,3,46.8083
Nevada County,California,"99,755",957.76,104,51.8917
Sacramento County,California,"1,552,058",965.249,1608,62.8583
Del Norte County,California,"27,812",1006.228,28,52.125
Yolo County,California,"220,500",1014.732,217,62.4
Calaveras County,California,"45,905",1019.999,45,58.25
Colusa County,California,"21,547",1150.713,19,61.6
Lake County,California,"64,386",1256.511,51,57.35
Santa Clara County,California,"1,927,852",1291.084,1493,58.85
Glenn County,California,"28,393",1313.968,22,60.4333
San Benito County,California,"62,808",1388.652,45,59.0833
Kings County,California,"152,940",1390.309,110,64.3083
San Joaquin County,California,"762,148",1392.334,547,63.0917
Placer County,California,"398,329",1407.075,283,53.4417
Mariposa County,California,"17,203",1448.838,12,55.0083
Stanislaus County,California,"550,660",1496.018,368,62.3417
Sonoma County,California,"494,336",1575.592,314,57.8917
Butte County,California,"219,186",1636.489,134,60.225
El Dorado County,California,"192,843",1707.846,113,53.5667
Ventura County,California,"846,006",1842.475,459,57.6917
Merced County,California,"277,680",1936.112,143,62.9083
Madera County,California,"157,327",2136.928,74,56.25
Tuolumne County,California,"54,478",2220.871,25,49.8583
Plumas County,California,"18,807",2553.062,7,47.075
Santa Barbara County,California,"446,499",2735.172,163,58.5583
Tehama County,California,"65,084",2949.137,22,58.8333
Mono County,California,"14,444",3048.987,5,43.6
Trinity County,California,"12,285",3179.268,4,52.8917
Monterey County,California,"434,061",3281.721,132,59.1333
San Luis Obispo County,California,"283,111",3300.617,86,59.7333
Mendocino County,California,"86,749",3506.359,25,56.1083
Humboldt County,California,"135,558",3568.135,38,54.475
Shasta County,California,"180,080",3775.464,48,55.2583
Modoc County,California,"8,841",3947.932,2,46.725
Los Angeles County,California,"10,039,107",4058.653,2474,61.05
Imperial County,California,"181,215",4175.539,43,72.9167
San Diego County,California,"3,338,330",4210.202,793,62.4333
Lassen County,California,"30,573",4541.185,7,46.625
Tulare County,California,"466,195",4824.304,97,54.0333
Fresno County,California,"999,101",5958.383,168,55.7833
Siskiyou County,California,"43,539",6278.768,7,48.9583
Riverside County,California,"2,470,546",7208.996,343,67.6417
Kern County,California,"900,202",8132.293,111,61.6583
Inyo County,California,"18,039",10197.221,2,60.0167
San Bernardino County,California,"2,180,085",20067.883,109,65.5167
Broomfield County,Colorado,"70,465",33.004,2135,50.05
Gilpin County,Colorado,"6,243",150.023,42,39.075
Denver County,Colorado,"727,211",153.292,4744,49.8333
Lake County,Colorado,"8,127",376.919,22,34.1583
San Juan County,Colorado,728,387.516,2,35.1167
Clear Creek County,Colorado,"9,700",395.073,25,37.3
Ouray County,Colorado,"4,952",541.593,9,41.4333
Sedgwick County,Colorado,"2,248",548.041,4,48.0583
Teller County,Colorado,"25,388",557.042,46,39.8083
Summit County,Colorado,"31,011",608.339,51,35.6083
Phillips County,Colorado,"4,265",687.928,6,48.525
Alamosa County,Colorado,"16,233",722.577,22,42.2667
Boulder County,Colorado,"326,196",726.378,449,44.4083
Custer County,Colorado,"5,068",738.626,7,41.4333
Jefferson County,Colorado,"582,881",764.337,763,45.5917
Crowley County,Colorado,"6,061",787.428,8,51.7917
Arapahoe County,Colorado,"656,590",797.96,823,48.0833
Douglas County,Colorado,"351,154",840.251,418,46.2083
Mineral County,Colorado,769,875.76,1,36.575
Rio Grande County,Colorado,"11,267",911.956,12,39.2917
Pitkin County,Colorado,"17,767",970.701,18,37.8917
Chaffee County,Colorado,"20,356",1013.408,20,37.425
Dolores County,Colorado,"2,055",1067.17,2,43.025
Hinsdale County,Colorado,820,1117.231,1,35.9667
Delta County,Colorado,"31,162",1142.125,27,46.6
Adams County,Colorado,"517,421",1166.305,444,48.6583
Costilla County,Colorado,"3,887",1227.593,3,42.3333
Otero County,Colorado,"18,278",1261.946,14,53.1083
Morgan County,Colorado,"29,068",1280.485,23,49.0167
San Miguel County,Colorado,"8,179",1286.726,6,44.5667
Conejos County,Colorado,"8,205",1287.428,6,40.175
Archuleta County,Colorado,"14,029",1350.088,10,43.4917
Bent County,Colorado,"5,577",1512.847,4,53.2583
Fremont County,Colorado,"47,839",1533.082,31,45.15
Huerfano County,Colorado,"6,897",1591.033,4,47.275
Jackson County,Colorado,"1,392",1613.726,1,36.225
Prowers County,Colorado,"12,172",1638.397,7,53.0167
Eagle County,Colorado,"55,127",1684.47,33,39.125
La Plata County,Colorado,"56,221",1689.682,33,44.525
Kiowa County,Colorado,"1,406",1767.809,1,51.675
Cheyenne County,Colorado,"1,831",1778.276,1,50.45
Logan County,Colorado,"22,409",1838.598,12,48.6417
Grand County,Colorado,"15,734",1846.446,9,37.025
Elbert County,Colorado,"26,729",1850.836,14,46.95
Montezuma County,Colorado,"26,183",2029.349,13,48.4167
El Paso County,Colorado,"720,403",2126.849,339,47.6833
Kit Carson County,Colorado,"7,097",2160.822,3,50.45
Park County,Colorado,"18,845",2193.903,9,37.7333
Montrose County,Colorado,"42,758",2240.946,19,47.425
Routt County,Colorado,"25,638",2362.02,11,39.3583
Yuma County,Colorado,"10,019",2364.398,4,50.0417
Pueblo County,Colorado,"168,424",2386.098,71,52.3167
Washington County,Colorado,"4,908",2518.084,2,49.0917
Baca County,Colorado,"3,581",2554.993,1,52.8833
Lincoln County,Colorado,"5,701",2577.679,2,49.225
Larimer County,Colorado,"356,899",2595.775,137,41.95
Garfield County,Colorado,"60,061",2947.425,20,43.0583
Saguache County,Colorado,"6,824",3168.566,2,38.5333
Rio Blanco County,Colorado,"6,324",3220.971,2,43.7
Gunnison County,Colorado,"17,462",3239.142,5,37.5583
Mesa County,Colorado,"154,210",3328.915,46,47.3417
Weld County,Colorado,"324,492",3984.929,81,47.45
Moffat County,Colorado,"13,283",4743.244,3,43.2333
Las Animas County,Colorado,"14,506",4772.938,3,51.1583
Middlesex County,Connecticut,"162,436",369.304,440,50.6167
Tolland County,Connecticut,"150,721",410.352,367,48.975
Windham County,Connecticut,"116,782",512.928,228,49.1
New Haven County,Connecticut,"854,757",604.514,1414,50.85
Fairfield County,Connecticut,"943,332",624.968,1509,51.5417
New London County,Connecticut,"265,206",665.142,399,50.5833
Hartford County,Connecticut,"891,720",734.962,1213,49.9417
Litchfield County,Connecticut,"180,333",920.514,196,47.4667
New Castle County,Delaware,"558,753",426.318,1311,55.8833
Kent County,Delaware,"180,786",586.06,308,57.1083
Sussex County,Delaware,"234,225",936.133,250,58.4583
District of Columbia,District of Columbia,"705,749",61.136,11544,59.8
St. Lucie County,Florida,"328,297",571.651,574,75.6917
St. Johns County,Florida,"264,672",600.565,441,72.7333
Union County,Florida,"15,237",243.555,63,70.8583
Pinellas County,Florida,"974,996",273.777,3561,75.225
Bradford County,Florida,"28,201",293.964,96,71.4833
Seminole County,Florida,"471,826",309.326,1525,74.0833
Gilchrist County,Florida,"18,582",349.695,53,71.1333
Hernando County,Florida,"193,920",472.961,410,73.5333
Holmes County,Florida,"19,617",478.857,41,68.8167
Flagler County,Florida,"115,081",485.145,237,73.1417
Indian River County,Florida,"159,923",502.784,318,74.6
Hamilton County,Florida,"14,428",513.782,28,69.1333
Gadsden County,Florida,"45,660",516.309,88,69.575
Lafayette County,Florida,"8,422",543.345,16,70.3667
Martin County,Florida,"161,000",543.82,296,76.6667
Franklin County,Florida,"12,125",545.141,22,70.75
Gulf County,Florida,"13,639",553.439,25,70.45
Sarasota County,Florida,"433,742",555.986,780,75.1667
Sumter County,Florida,"132,420",557.133,238,73.15
Calhoun County,Florida,"14,105",567.336,25,69.75
Citrus County,Florida,"149,657",581.911,257,72.8083
Washington County,Florida,"25,473",584.677,44,69.4083
Baker County,Florida,"29,210",585.23,50,70.3167
Jefferson County,Florida,"14,246",598.077,24,69.875
Clay County,Florida,"219,252",604.615,363,72.0667
Wakulla County,Florida,"33,739",606.418,56,70.35
DeSoto County,Florida,"38,001",636.693,60,74.9417
Hardee County,Florida,"26,937",637.575,42,74.7583
Nassau County,Florida,"88,625",648.68,137,70.6583
Escambia County,Florida,"318,316",656.973,485,69.075
Leon County,Florida,"293,582",666.89,440,69.8917
Charlotte County,Florida,"188,910",681.107,277,75.8167
Suwannee County,Florida,"44,417",688.552,65,69.9417
Madison County,Florida,"18,493",696.529,27,69.55
Dixie County,Florida,"16,826",705.108,24,71.1083
Putnam County,Florida,"74,521",727.867,102,72.8
Manatee County,Florida,"403,253",743.631,542,74.7833
Pasco County,Florida,"553,947",746.58,742,74.1
Bay County,Florida,"174,705",758.592,230,70.2583
Duval County,Florida,"957,755",762.629,1256,71.5333
Okeechobee County,Florida,"42,168",769.157,55,75.1
Lee County,Florida,"770,577",781.457,986,76.2583
Columbia County,Florida,"71,686",797.551,90,70.0583
Glades County,Florida,"13,811",806.568,17,75.1833
Liberty County,Florida,"8,354",835.563,10,69.9417
Alachua County,Florida,"269,043",875.539,307,71.9
Orange County,Florida,"1,393,452",901.866,1545,74.4333
Jackson County,Florida,"46,414",918.177,51,69.6
Okaloosa County,Florida,"210,738",930.225,227,68.8667
Lake County,Florida,"367,118",950.758,386,73.6917
Monroe County,Florida,"74,228",983.029,76,78.525
Santa Rosa County,Florida,"184,313",1012.379,182,68.8167
Brevard County,Florida,"601,942",1014.983,593,74.3333
Highlands County,Florida,"106,221",1017.644,104,74.8167
Hillsborough County,Florida,"1,471,968",1021.924,1440,74.9417
Walton County,Florida,"74,071",1037.742,71,69.025
Taylor County,Florida,"21,569",1043.318,21,70.6
Volusia County,Florida,"553,284",1101.242,502,73.425
Levy County,Florida,"41,503",1118.223,37,72.125
Hendry County,Florida,"42,022",1156.229,36,75.8
Broward County,Florida,"1,952,778",1202.82,1623,77.475
Osceola County,Florida,"375,751",1327.563,283,74.825
Marion County,Florida,"365,579",1588.416,230,72.5417
Polk County,Florida,"724,777",1797.539,403,75.0333
Miami-Dade County,Florida,"2,716,940",1899.841,1430,77.9917
Palm Beach County,Florida,"1,496,770",1964.283,762,76.8667
Collier County,Florida,"384,902",1996.938,193,76.7083
Clarke County,Georgia,"128,331",119.223,1076,63.55
Rockdale County,Georgia,"90,896",129.818,700,64.2417
Clayton County,Georgia,"292,256",141.679,2063,64.5
Glascock County,Georgia,"2,971",143.746,21,65.4917
Peach County,Georgia,"27,546",150.284,183,66.6
Quitman County,Georgia,"2,299",151.237,15,67.0583
Barrow County,Georgia,"83,240",161.036,517,63.1167
Catoosa County,Georgia,"67,580",162.162,417,62.4083
Towns County,Georgia,"12,037",166.464,72,57.8
Schley County,Georgia,"5,257",166.909,31,66.6167
Dade County,Georgia,"16,116",173.98,93,60.9667
Stephens County,Georgia,"25,925",179.15,145,62.425
Evans County,Georgia,"10,654",182.895,58,68.625
Lamar County,Georgia,"19,077",183.501,104,65.3833
Butts County,Georgia,"24,936",183.69,136,65.3417
Oconee County,Georgia,"40,280",184.335,219,63.8667
Fayette County,Georgia,"114,421",194.378,589,64.8667
Taliaferro County,Georgia,"1,537",194.607,8,64.2833
Clay County,Georgia,"2,834",195.404,15,67.8083
Spalding County,Georgia,"66,703",195.993,340,65.225
Lanier County,Georgia,"10,423",196.536,53,68.2667
Treutlen County,Georgia,"6,901",199.433,35,67.7167
Douglas County,Georgia,"146,343",200.138,731,63.7667
Webster County,Georgia,"2,607",209.357,12,66.7917
Lincoln County,Georgia,"7,921",210.381,38,64.65
Dawson County,Georgia,"26,108",210.828,124,60.3917
Bleckley County,Georgia,"12,873",215.872,60,67.425
Pike County,Georgia,"18,962",216.086,88,65.2417
Muscogee County,Georgia,"195,769",216.479,904,66.325
Forsyth County,Georgia,"244,252",224.551,1088,61.6667
Cook County,Georgia,"17,270",228.421,76,67.9
Banks County,Georgia,"19,234",232.056,83,62.8417
Pickens County,Georgia,"32,591",232.059,140,60.4583
Hart County,Georgia,"26,205",232.422,113,63.2333
Seminole County,Georgia,"8,090",237.536,34,69.4667
White County,Georgia,"30,798",240.743,128,59.8
Montgomery County,Georgia,"9,172",241.145,38,68.2667
Candler County,Georgia,"10,803",243.059,44,68.0083
Chattahoochee County,Georgia,"10,907",248.737,44,66.4917
Pulaski County,Georgia,"11,137",249.261,45,67.75
Bibb County,Georgia,"153,159",249.398,614,66.525
Ben Hill County,Georgia,"16,700",250.122,67,68.5167
McDuffie County,Georgia,"21,312",257.472,83,65.2
Baldwin County,Georgia,"44,890",258.699,174,66.2917
Tift County,Georgia,"40,644",260.889,156,67.9
Franklin County,Georgia,"23,349",261.562,89,62.975
DeKalb County,Georgia,"759,297",267.731,2836,63.9083
Crisp County,Georgia,"22,372",272.68,82,68.1333
Newton County,Georgia,"111,744",273.801,408,64.625
Habersham County,Georgia,"45,328",276.828,164,60.75
Calhoun County,Georgia,"6,189",280.384,22,68.4583
Haralson County,Georgia,"29,792",282.165,106,62.4167
Madison County,Georgia,"29,880",282.328,106,63.0417
Miller County,Georgia,"5,718",282.423,20,69.075
Lumpkin County,Georgia,"33,610",282.942,119,59.6167
Bacon County,Georgia,"11,164",284.085,39,68.7833
Warren County,Georgia,"5,254",284.358,18,64.9333
Turner County,Georgia,"7,985",285.415,28,67.9667
Columbia County,Georgia,"156,714",290.076,540,65.85
Whitfield County,Georgia,"104,628",290.438,360,62.3667
Wheeler County,Georgia,"7,855",295.49,27,68.3833
Heard County,Georgia,"11,923",295.972,40,64
Johnson County,Georgia,"9,643",303.019,32,66.725
Polk County,Georgia,"42,613",310.333,137,62.7833
Paulding County,Georgia,"168,667",312.329,540,62.9167
Chattooga County,Georgia,"24,789",313.327,79,62.1917
Henry County,Georgia,"234,561",318.649,736,64.775
Union County,Georgia,"24,511",322.085,76,57.825
Upson County,Georgia,"26,320",323.467,81,65.4833
Richmond County,Georgia,"202,518",324.332,624,66.8917
Crawford County,Georgia,"12,404",324.913,38,66.1667
Walton County,Georgia,"94,593",326.815,289,63.7417
Dougherty County,Georgia,"87,956",328.644,268,68.8083
Jeff Davis County,Georgia,"15,115",330.918,46,68.475
Terrell County,Georgia,"8,531",335.739,25,67.8917
Jackson County,Georgia,"72,977",339.669,215,63.15
Cobb County,Georgia,"760,141",339.79,2237,63.3
Pierce County,Georgia,"19,465",340.45,57,69.2667
Baker County,Georgia,"3,038",341.957,9,68.9917
Atkinson County,Georgia,"8,165",342.718,24,68.7917
Murray County,Georgia,"40,096",344.494,116,61.4917
Putnam County,Georgia,"22,119",344.682,64,65.7667
Jenkins County,Georgia,"8,676",347.325,25,67.225
Morgan County,Georgia,"19,276",347.403,55,64.8167
Elbert County,Georgia,"19,194",351.098,55,63.5917
Irwin County,Georgia,"9,416",354.363,27,68.375
Lee County,Georgia,"29,992",355.882,84,68.325
Gordon County,Georgia,"57,963",356.443,163,62.2167
Twiggs County,Georgia,"8,120",359.26,23,66.9417
Toombs County,Georgia,"26,830",364.009,74,68.4333
Marion County,Georgia,"8,359",366.017,23,66.0833
Jasper County,Georgia,"14,219",368.406,39,65.5333
Rabun County,Georgia,"17,137",370.14,46,58.6417
Houston County,Georgia,"157,863",376.043,420,67.2
Taylor County,Georgia,"8,020",376.686,21,66
Wilcox County,Georgia,"8,635",377.811,23,68.1917
Fannin County,Georgia,"26,188",387.105,68,58.1917
Greene County,Georgia,"18,324",387.663,47,64.5167
Talbot County,Georgia,"6,195",391.377,16,65.3
Dooly County,Georgia,"13,390",392.631,34,67.7083
Hall County,Georgia,"204,441",392.999,520,61.9833
Jones County,Georgia,"28,735",393.942,73,66.1833
Monroe County,Georgia,"27,578",396.092,70,65.7583
Long County,Georgia,"19,559",400.393,49,69.2667
Macon County,Georgia,"12,947",400.662,32,66.9667
Troup County,Georgia,"69,922",414.008,169,64.5
Glynn County,Georgia,"85,292",419.551,203,69.9333
Echols County,Georgia,"4,006",420.407,10,68.725
Cherokee County,Georgia,"258,773",421.083,615,61.7917
Gilmer County,Georgia,"31,369",426.213,74,59
Randolph County,Georgia,"6,778",428.236,16,67.3833
Gwinnett County,Georgia,"936,250",430.623,2174,62.8833
McIntosh County,Georgia,"14,378",431.354,33,69.8
Chatham County,Georgia,"289,430",433.117,668,69.3583
Telfair County,Georgia,"15,860",437.307,36,68.5083
Bryan County,Georgia,"39,627",437.548,91,69.1417
Oglethorpe County,Georgia,"15,259",439.062,35,63.5833
Coweta County,Georgia,"148,509",440.933,337,64.7083
Brantley County,Georgia,"19,109",443.226,43,69.3833
Walker County,Georgia,"69,761",446.39,156,61.8917
Wilkinson County,Georgia,"8,954",449.214,20,66.8417
Berrien County,Georgia,"19,397",453.376,43,68.2
Grady County,Georgia,"24,633",454.501,54,69.1167
Stewart County,Georgia,"6,621",458.748,14,66.6167
Bartow County,Georgia,"107,738",458.909,235,62.3167
Harris County,Georgia,"35,236",463.825,76,65.125
Wilkes County,Georgia,"9,777",469.501,21,64.0167
