Location ID,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AL-097,Mobile County,51.4,61.8,59.6,65.9,76.4,81.1,82.4,82.6,81.9,71.7,55.8,55.2
AL-099,Monroe County,50.4,61.4,58.6,64.9,75.7,80.3,82.1,82.4,81.6,70,53.5,54.5
AL-101,Montgomery County,48.4,60,57.2,65.4,75.7,79.8,81.6,81.6,81.6,70.1,52.4,52.6
AL-103,Morgan County,42.4,50.8,50.6,61.5,72.3,76.3,79.6,78.8,79.1,64.1,47,48.7
AL-105,Perry County,46.9,57.4,55.8,63.6,75,78.6,81.1,81.2,81,68.2,50.2,50.9
AL-107,Pickens County,45.3,54.1,53.9,62.6,74.2,78.3,81.3,81.6,80.9,67.1,49.2,50.2
AL-109,Pike County,48.4,58.5,57,64.3,75.4,79.6,81,80.7,81,70.6,52.6,52.9
AL-111,Randolph County,44.5,53.5,52.9,61.9,72,75.2,78.4,79,77.5,65.8,48.8,48.8
AL-113,Russell County,48.2,57.5,56.8,64.5,75.4,78.6,81.1,80.8,80.8,69.4,52.5,51.9
AL-115,St. Clair County,44.3,53.1,53.1,63,73.1,76.8,80.2,80.1,79.4,66.1,48.9,49.4
AL-117,Shelby County,44.6,55,53.6,63.2,73.5,77.5,80.4,80.6,79.9,66.8,49.4,49.8
AL-119,Sumter County,46.8,55.6,55.5,63.8,74.3,78.6,81.2,81.6,81.4,67.4,50.3,51
AL-121,Talladega County,44.9,54,53.6,63,73.1,77.2,80.2,80.5,79.2,66.9,49.2,49.6
AL-123,Tallapoosa County,45.4,55,54.1,62.8,73.3,76.9,79.9,79.9,78.8,67.4,49.8,49.9
AL-125,Tuscaloosa County,45.4,54.9,54.2,63.4,74.2,78.1,80.3,80.7,80.6,66.8,49,50.3
AL-127,Walker County,43.9,53.1,52.6,62.4,73,76.7,79.8,80,79.8,65.3,48,49.5
AL-129,Washington County,49.7,60.2,57.9,64.6,75.2,79,81.1,81.5,81,68.5,53.2,53.7
AL-131,Wilcox County,49.2,60.1,57.8,64.5,75.8,79.7,82,82.3,82.1,69.5,52.1,53.1
AL-133,Winston County,42.2,50.7,50.2,60.6,71.3,74.8,78.6,78.3,78.4,63.6,46.9,48.4
AZ-001,Apache County,30.3,32.1,43,50.4,52.1,65.4,72.7,72.3,65,49,41,32.2
AZ-003,Cochise County,44.2,44.6,53.6,60,62.5,75.9,80.3,79.6,72.6,62,53.4,44.8
AZ-005,Coconino County,34.3,32.5,44.2,53.1,52.6,67.7,75,75.4,67,51.3,44,33.4
AZ-007,Gila County,43.9,41.6,51.1,59.4,59.2,73.9,80.8,80,72.3,60.4,52.2,43.2
AZ-009,Graham County,43.6,43.2,52.8,60.6,62,76.9,82,81.2,73.5,62.4,52.8,44.1
AZ-011,Greenlee County,40.5,40.1,48.8,56.2,57.7,71.7,76.8,76.3,69.4,57.1,49,40.7
AZ-012,La Paz County,53,51.3,61.8,71.9,72.2,86.2,93.1,93.9,84.3,70.4,61.9,51.7
AZ-013,Maricopa County,52.8,50.2,61.4,70.3,71.1,85.6,92.4,92.6,84.2,71,62.2,52.5
AZ-015,Mohave County,44.5,40.6,52.2,62.1,61.7,77.8,84.4,84.9,75.8,60.8,54,43.1
AZ-017,Navajo County,31.3,32.2,44.3,52.7,53.1,67.4,75.3,74.9,66.9,50.8,42.8,32
AZ-019,Pima County,51.7,48.6,59,67,67.5,81.4,87.6,87.2,79.9,68.7,61.2,51.6
AZ-021,Pinal County,50.9,49.3,59.3,68.4,69.7,84.3,90.3,89.7,82.5,70.3,61.3,51.2
AZ-023,Santa Cruz County,45.7,43.8,52.7,59.1,60.4,73.3,78.2,77.5,71.7,61.3,54.6,45.7
AZ-025,Yavapai County,43.5,39.6,50.4,58.9,58.7,73.7,80.1,80.5,72,59.1,52,42.6
AZ-027,Yuma County,54.4,52.9,63.5,73,72.8,85.9,92.8,94.2,85.9,72.3,63.9,54.2
AR-001,Arkansas County,43.3,48.7,51.1,62.8,73.3,77.8,80.6,81.6,81.8,63.5,48.1,47.8
AR-003,Ashley County,46.4,51.8,53.3,62.6,73.9,78.8,81.4,84.1,83,65.3,50.2,50
AR-005,Baxter County,36.8,41.1,44.7,58.6,66.7,72.8,76.8,76.8,76,56.6,43,42.5
AR-007,Benton County,36,41,44.9,59.1,66.5,73.3,77.2,77.2,77.3,56.7,44.4,42.6
AR-009,Boone County,35.8,40.2,43.9,58.8,66.3,72.2,76.1,76.4,76,55.8,43.6,42.1
AR-011,Bradley County,45.8,50.3,52.6,62.7,73.4,78,80.4,83.2,82.5,64.2,49.4,49.2
AR-013,Calhoun County,44.9,49.3,52.1,61.9,72.9,77.4,79.3,82.4,81.9,63.4,48.6,47.9
AR-015,Carroll County,36.1,40.3,43.9,58.9,66.2,72.2,76.4,76.7,76.4,56,43.6,42.5
AR-017,Chicot County,45.4,51.7,53.5,62.6,74.4,78.1,81,83,82.7,65,49.8,49.3
AR-019,Clark County,43.4,48.4,51.3,61.5,71.9,77,79.6,82.4,81.4,62.4,48.5,47
AR-021,Clay County,37.9,42.8,46.5,59.3,69.9,75.4,79.8,78.6,77.8,59.6,43.4,43.1
AR-023,Cleburne County,39,43.4,46.8,59.7,68.4,74.2,78,78.3,77.8,59.7,44.6,44.6
AR-025,Cleveland County,43.8,48.8,51.3,61.7,72.6,77,79.6,81.6,81.4,62.8,47.7,47.3
AR-027,Columbia County,44.8,50.3,52.7,61.6,72.7,76.5,79.7,82.5,81.5,63.8,49.8,48.1
AR-029,Conway County,39.7,45.4,48.1,60.7,70.1,75.8,79.5,81,79.5,60,46,45.3
AR-031,Craighead County,39.3,44.2,47.4,60.2,71.3,76.3,80,79.1,78.8,60.4,44.5,44.5
AR-033,Crawford County,37.5,43.7,46.9,60.1,68.7,74.8,79.1,80.2,79.3,59.5,45.5,44
AR-035,Crittenden County,41.4,47.8,49.8,62.2,73.2,77.2,80.8,80.8,81.2,62.9,46.6,47
AR-037,Cross County,40.8,46.3,48.6,62,72.7,76.8,80.3,80.2,80.6,61.9,46,46.3
AR-039,Dallas County,43.5,48.6,51.2,61.3,72.2,76.8,79.2,81.8,81.2,62.4,47.4,46.7
AR-041,Desha County,43.7,49.5,52.3,62.5,74,78.1,80.7,82.2,82.4,64.1,49,48.8
AR-043,Drew County,45,50.3,52.4,62.6,73.9,78,80.7,82.9,82.5,63.9,49.4,49
AR-045,Faulkner County,40.2,45.2,48.2,60.9,70.5,76.3,79.8,80.9,79.6,60.3,45.7,45.2
AR-047,Franklin County,37.7,43.7,46.9,59.9,68.7,74.2,78.4,79.5,78.8,59.3,45.1,44.1
AR-049,Fulton County,36.7,41.7,44.8,58.9,66.8,72.8,77.1,76.9,76,57,42.4,42.2
AR-051,Garland County,41.6,46.9,49.6,61,70.3,75.8,78.8,81.4,80.4,60.9,47.3,46.2
AR-053,Grant County,42.4,48.1,50.5,61.3,72.1,76.8,79.9,81.9,81.1,62,46.6,46.4
AR-055,Greene County,38.6,43.3,46.9,59.5,70.4,75.8,79.8,78.6,78.1,59.7,43.8,43.7
AR-057,Hempstead County,43.2,48.7,51.9,61.2,71.9,76.3,79.2,82.5,81.4,62.4,48.8,47.4
AR-059,Hot Spring County,42.6,47.8,50.4,61.4,71.2,76.5,79.4,82,81.1,61.7,47.8,46.8
AR-061,Howard County,41.6,47.7,50.4,60.4,70.8,75.3,78.4,81.7,80.4,61.2,47.4,46.3
AR-063,Independence County,38.9,43.2,46.8,59.8,68.7,74.5,78.2,78.3,78,59.8,44,44.3
AR-065,Izard County,37.3,42,45.2,58.6,66.8,72.9,76.8,77,76.3,57.4,42.7,42.9
AR-067,Jackson County,39.5,43.9,47.4,60.3,70.3,75.8,79.6,79.2,79,60.6,44.4,44.4
AR-069,Jefferson County,43,48,50.7,61.9,72.5,77.1,80.1,81.6,81.2,62.6,47.2,46.7
AR-071,Johnson County,37.5,43.3,46.7,59.4,68.1,73.3,77.3,78.8,77.9,58.7,44.6,43.7
AR-073,Lafayette County,44.7,50,53.4,62.2,72.8,76.9,80,83.2,82.1,63.9,50.3,48.4
AR-075,Lawrence County,38,43,46.4,59.7,69.4,74.9,79,78.3,77.9,59.1,43.4,43.3
AR-077,Lee County,42.2,48.6,50.2,62.4,72.9,77.5,80.4,80.7,80.9,63.1,47,47.3
AR-079,Lincoln County,43.9,49,51.8,62.6,73.2,77.6,80.3,82,81.8,63.2,48.5,48
AR-081,Little River County,43.4,49.2,52.6,62,72.2,76.7,79.7,83,81.8,63,49.2,47.8
AR-083,Logan County,39.1,44.5,48.5,60.7,69.6,75,78.6,80.6,79.8,60.2,46.3,45.2
AR-085,Lonoke County,42.1,46.6,49.7,61.6,72,77.2,80.5,81.4,80.8,62.1,46.5,46.5
AR-087,Madison County,35.6,41,43.9,57.8,65.5,71.3,75.3,76.1,75.8,55.9,43.1,42
AR-089,Marion County,36,40.7,44.4,58.7,66.7,72.7,76.6,76.7,76,56.2,43.1,42.3
AR-091,Miller County,44.7,49.7,53.7,62.8,72.8,77.1,80.1,83.6,82.4,63.8,50.5,48.6
AR-093,Mississippi County,40,45.8,49,61.5,72.5,77.2,80.2,79.9,79.6,61.7,45.5,45.5
AR-095,Monroe County,42.6,48.2,50.2,62.5,72.8,77.4,80.5,80.7,81,63,47.1,47.3
AR-097,Montgomery County,41,46.4,48.9,60.5,69.6,74.9,78.1,80.9,79.8,60.3,47.2,45.5
AR-099,Nevada County,43.9,49.1,52,61.2,72.2,76.6,79.2,82.4,81.4,63,49,47.3
AR-101,Newton County,35.8,40.7,44,58,65.7,71,74.9,75.9,75.3,55.7,43.1,41.8
AR-103,Ouachita County,44.5,49,51.7,61.4,72.6,77,78.8,82.4,81.6,63.1,48.6,47.1
AR-105,Perry County,40.7,46.3,49.2,61,70.4,76,79.4,81.4,80.3,60.6,46.7,45.9
AR-107,Phillips County,43,49,50.6,62.6,73.4,77.7,80.8,81,81.6,63.8,47.8,48
AR-109,Pike County,41.8,47.4,49.9,60.1,70.5,75.6,78.6,81.6,80.3,61,47.6,46
AR-111,Poinsett County,39.9,45,47.9,61,72,76.7,80.3,79.8,79.6,61.3,45.2,45.3
AR-113,Polk County,39.6,45.6,48.3,59.6,68.8,73.1,76.6,80.1,78.9,59.4,46.2,45.2
AR-115,Pope County,38.4,44.2,47.2,59.7,68.5,74,77.9,79.4,78.3,59,45.2,44
AR-117,Prairie County,42.4,47,49.8,62,72.2,77.2,80.4,80.7,80.6,62.3,46.5,46.7
AR-119,Pulaski County,41.4,46.5,49.3,61.2,71.2,76.5,79.8,81.3,80.4,61.3,46.5,46.1
AR-121,Randolph County,36.8,42.5,45.9,59.5,69,74.6,79,78.2,77.4,58.3,43,42.7
AR-123,St. Francis County,41.6,47.6,49.7,62.4,73,77,80.4,80.5,80.8,62.6,46.5,47
AR-125,Saline County,41.4,46.9,49.4,60.8,70.8,76,79.2,81.4,80.5,61.2,46.5,46
AR-127,Scott County,39.5,45.1,48.4,60.3,69,74.3,78,80.7,79.7,59.9,46.6,45.4
AR-129,Searcy County,36.3,41.5,44.6,58.4,66.6,71.8,75.8,76.3,75.7,56.6,43.2,42.1
AR-131,Sebastian County,39.3,45.2,48.9,61.4,69.9,75.8,79.6,81.4,80.4,60.6,47.1,45.4
AR-133,Sevier County,42.3,48.6,51.4,61.3,71.5,76,79.2,82.4,81.2,62.1,48,47.1
AR-135,Sharp County,37.2,42.5,45.5,59.3,67.7,73.5,77.8,77.5,77,57.8,42.5,42.6
AR-137,Stone County,37.6,42,45.4,58.5,66.8,72.6,76.4,76.8,76.2,57.8,43.5,43.4
AR-139,Union County,45.9,50.6,53.1,62.7,73.4,77.8,80.4,83.3,82.4,64.3,50.2,49.2
AR-141,Van Buren County,37.8,43.1,46,59.1,67.8,73.2,77.2,77.9,77.1,58.3,44.3,43.2
AR-143,Washington County,35.9,41.9,44.8,58.5,66.3,72.7,76.7,77.4,77,56.7,44,42.5
AR-145,White County,40.9,45.6,48.6,61.4,71,76.5,80.1,80.2,79.6,61.5,45.7,45.7
AR-147,Woodruff County,40.9,45.8,48.6,61.4,71.8,76.8,80.2,80,80.1,61.6,45.7,45.8
AR-149,Yell County,40.1,45.5,49.2,60.9,69.9,75.4,78.8,81,80.2,60.5,46.8,45.6
CA-001,Alameda County,50.8,46.2,51.9,59.3,58.8,69,70.5,72.8,68.7,62.3,56,49.9
CA-003,Alpine County,33.4,24.8,32.4,42,43.2,54.3,60.7,62.5,52.8,43.6,40,31.9
CA-005,Amador County,46.6,38.9,47.4,57,56.7,70.9,74.7,75.8,66.8,60,54.3,44.6
CA-007,Butte County,48,42.5,50,60.3,61.2,74.2,76.6,77.6,70.1,60.4,55.1,46.7
CA-009,Calaveras County,47,40.2,47.8,57.3,57.2,71.1,74.9,76,67.7,60.2,54.5,45.1
CA-011,Colusa County,48.4,44.4,51.3,62.4,63.5,76.2,77.6,79,71.3,62,56.2,46.9
CA-013,Contra Costa County,50.4,46.4,52.8,61,59.7,70.9,71.8,74,69.8,63.9,57.4,49.4
CA-015,Del Norte County,44.2,35.3,44.6,51,54.8,62.6,64.4,67.3,58.5,51.5,49.5,41.8
CA-017,El Dorado County,43.3,34.5,42.4,52.2,52.7,66.1,70.6,72,63,54.8,50,41.2
CA-019,Fresno County,43.7,38.2,45.7,55.5,54.7,69,73.2,74,66.4,56,50.6,42.4
CA-021,Glenn County,47.6,42.8,49.6,60.4,61.4,74.7,77.1,78.3,70,61.2,55.6,46.5
CA-023,Humboldt County,46,39.9,47,53.5,55.9,62.8,67.2,69.7,63,54.7,49.2,44.8
CA-025,Imperial County,55.7,53.8,64.5,74,73.7,86.8,92.8,94.2,86,73.8,64.9,54.8
CA-027,Inyo County,44.2,39.6,49.4,60.7,60.6,76.5,81.8,82.6,72.3,58.9,52.4,41.2
CA-029,Kern County,47.9,43.7,51.8,62,61.2,76.2,80.3,80.7,72.6,61.9,55.4,46.2
CA-031,Kings County,50.3,48.6,55.9,65.3,65.3,78.9,82,82.1,74.7,63.1,56.1,49.4
CA-033,Lake County,46.7,39,46.3,56.5,57.3,70.3,73.1,74.8,66.4,59.2,54.2,44.4
CA-035,Lassen County,33.9,27.1,35.9,46.5,49.6,59.8,66.1,67.3,55.9,43.8,40.8,32.8
CA-037,Los Angeles County,50.7,45,52.9,60.4,58.4,70.3,75.8,76.7,71.9,64.2,57.7,48.6
CA-039,Madera County,44.4,38.8,46.3,55.7,55.4,69.4,73.4,74.1,66.8,56.3,51,43.4
CA-041,Marin County,51.8,46.5,51.5,56.9,54.9,62.2,62,65.9,64.2,60.8,55.5,50.6
CA-043,Mariposa County,43.6,36,44.4,54.1,53.8,68,72.3,73.4,65.4,56.3,50.9,41.9
CA-045,Mendocino County,47.4,41.1,47.4,55.1,56.4,66,68.3,71,64.3,56.8,53.2,46.3
CA-047,Merced County,50.3,48,54.2,63.4,63.1,75.3,78.4,79,73.2,63.3,56.6,50.1
CA-049,Modoc County,34.6,27.1,36.4,46,50.4,59.7,66,67,55.3,43.8,41.4,33
CA-051,Mono County,31.5,23.3,32.7,43.3,44.1,56.5,63.2,64.5,54.5,42.6,38,29
CA-053,Monterey County,50.8,45.5,51.6,58.4,58.2,67.6,70,72.1,69,61.3,55.3,49.8
CA-055,Napa County,49.8,44.8,51.4,60.1,60,71.3,72.7,74.7,69.5,62.1,55,48.5
CA-057,Nevada County,40.5,32.8,40.8,50.9,51.9,65,69.1,70.4,61.1,52.6,48.3,39.3
CA-059,Orange County,57,51.3,58,62.6,61,67.8,73.2,74.3,73.6,69.5,62.5,55.9
CA-061,Placer County,42.3,34.8,42.6,52.4,53.6,66.3,70.4,71.7,62.7,54.1,49.6,40.8
CA-063,Plumas County,35.6,28.4,36,46.6,48.7,60.3,64.9,66.4,56.7,45.5,41.7,34.1
CA-065,Riverside County,52.7,48.8,58.7,67.8,67.1,80.6,86.8,87.8,79.9,68.8,60.9,51.8
CA-067,Sacramento County,50.7,47.6,54.3,63.4,63.6,75.4,77.5,78.8,72.4,63.6,56.8,50.2
CA-069,San Benito County,48.7,42.8,49.6,58.4,57.7,69.8,73.4,75,69.6,61.6,54.9,47.5
CA-071,San Bernardino County,49,45.3,55.6,66.4,65.8,81.7,87.1,87.6,78.2,65.2,57.4,46.9
CA-073,San Diego County,52.6,47.6,54.7,61.4,59.6,70.3,76.2,77.7,72.7,65.4,59.2,51.8
CA-075,San Francisco County,53.3,48.6,53.5,57.6,56.6,63,62.6,66,65.6,61.9,55.7,52
CA-077,San Joaquin County,51.4,48.4,54.8,63.6,63.5,75.4,77.4,78.5,72.7,63.7,56.6,51.1
CA-079,San Luis Obispo County,50.9,45.2,51.4,59.2,58.3,68.8,72.2,73.5,69.6,61.7,55.9,50.1
CA-081,San Mateo County,52.6,47.6,52.3,57.2,57.1,63.9,64.3,67.5,66.2,61.5,54.7,51.6
CA-083,Santa Barbara County,51.5,45.2,51.4,57.8,56.6,65.3,68.6,69.8,68.5,61.4,56.2,50.4
CA-085,Santa Clara County,49.9,44.2,50.6,58.4,57.8,68,70.2,72.4,69,61.9,55.6,48.2
CA-087,Santa Cruz County,52.3,47.2,52.3,57.8,57.7,64.1,66.1,68.7,68.4,61.8,55,51.4
CA-089,Shasta County,43.1,36,44,54.7,57.6,69.6,73.5,74.1,65.1,54.4,50.9,40.1
CA-091,Sierra County,35.7,27.6,36.1,45.6,47.5,59.5,64.2,65.6,56.1,46.4,42.8,34.6
CA-093,Siskiyou County,38.2,30.1,39,47.4,52.2,61.4,66.5,68.5,57.5,46.9,44.3,35.5
CA-095,Solano County,50.9,47.5,54.1,62.4,62,72.7,73.5,75.6,71.4,63.6,56.3,50
CA-097,Sonoma County,50.5,45,50.7,57.7,56.7,65.5,67.2,69.8,66.4,61,54.8,49.4
CA-099,Stanislaus County,50.4,47,53.7,62.8,62.4,74.8,77.5,78.4,72.2,62.9,56.2,49.8
CA-101,Sutter County,49.9,47.5,54.2,64.5,65.6,77.6,78.9,80,73.3,62.9,56.6,49.3
CA-103,Tehama County,46.5,39.4,47.6,58.5,60,73.4,76.2,77.2,68.4,59.4,54.8,44.6
CA-105,Trinity County,41.6,34.7,42.7,51.8,55.1,65,69.4,71.9,62.7,52.3,47.9,39.6
CA-107,Tulare County,41.7,36.6,43.8,53.5,52.7,67.5,71.6,72.4,64.6,54.5,49.3,40.2
CA-109,Tuolumne County,39.4,30.8,38.9,48.6,48.2,61.9,66.6,68.4,60,51.3,46.6,37.6
CA-111,Ventura County,49.5,43.2,49.8,56.6,55,64.9,70.3,71.4,68.2,60.2,55.1,48.1
CA-113,Yolo County,50.1,46.6,53.4,63.1,63.6,75.6,76.5,78.4,72.3,63.4,56.2,49.6
CA-115,Yuba County,48.4,43.4,50.8,61,61.9,74.9,77.3,78.1,70,61.2,55.8,47.8
CO-001,Adams County,29.1,26.6,34.8,48.7,51.1,65.1,74.9,74.1,68,43.4,35.6,32.5
CO-003,Alamosa County,15.6,22.3,36.6,44.4,47,58.8,65.2,64.4,59.4,40.6,32.9,20
CO-005,Arapahoe County,28.8,26.7,34.3,47.7,50,64,73.8,73.3,67.4,42.9,35.3,32.8
CO-007,Archuleta County,24,23.4,34.8,43.5,45.1,58,65.2,65.2,58.8,41.9,35.9,26.1
CO-009,Baca County,34.1,31.9,40.1,52.6,56.8,68.5,77,76.5,72.8,47.7,40,36.6
CO-011,Bent County,33.2,31.2,40.2,53.8,57.2,70.5,78.9,77.9,73.8,47.6,39.4,35.4
CO-013,Boulder County,28.6,26.3,32.4,43.8,45.6,58.2,66.7,66,60.7,39.5,35.3,29.8
CO-014,Broomfield County,32.8,29.8,37.2,49.8,51.7,65.8,74.5,73.9,67.7,44.8,38.4,34.2
CO-015,Chaffee County,18.4,18.8,27.4,37.8,39.2,51.6,59.3,58.8,54.3,34.4,29.5,19.6
CO-017,Cheyenne County,31.1,25.8,36.2,50.5,54.3,67.3,76,75,70.8,45.9,38.6,33.9
CO-019,Clear Creek County,21.6,20.7,26.4,36.4,38,50.1,58.5,57.7,53.4,32.7,29.4,22.7
CO-021,Conejos County,18.5,21,32.8,40.9,43.5,55.1,61.2,60.9,55.7,38.8,32.6,21.1
CO-023,Costilla County,22.3,24,34.3,42.6,45.2,56.6,63.4,62.7,57.7,40.1,34.6,24.5
CO-025,Crowley County,31.3,30.3,38.8,52.3,55.1,69,77.5,77,72.5,45.9,38,33.8
CO-027,Custer County,22.8,25,31.5,40.6,42.8,55,62.7,61.7,58.3,38.2,33.3,25.3
CO-029,Delta County,25.5,27,37.3,47.8,49.1,61.6,70.2,70.2,63.2,42.4,37.6,27.3
CO-031,Denver County,31.8,29.2,36.4,49.6,51.3,65.7,75,74.3,68.4,44.5,37.6,34.2
CO-033,Dolores County,24.6,23.2,34.4,43.1,44.2,57.6,64.8,64.4,58.2,40.3,35.3,26.2
CO-035,Douglas County,29.3,28.6,33.8,45.2,46.2,60.4,69.6,68.9,63.8,41.4,35.6,31.7
CO-037,Eagle County,20.5,20.9,29.2,39.4,41.3,52.8,61.5,61.2,55.7,35,31.1,20.9
CO-039,Elbert County,28.4,26.9,33.7,46.4,48.9,62.1,72,71.4,66,41.2,34.4,32
CO-041,El Paso County,30.6,29.6,35,47.1,49.2,62.3,71.1,70.9,66.3,41.7,35.8,32.6
CO-043,Fremont County,26,27.2,34,44.7,47,59.8,67.7,66.9,62.9,40.8,35.7,29.1
CO-045,Garfield County,23.7,23.9,33,43.4,45.3,57.3,66.5,66.5,59.3,38,34.4,25.4
CO-047,Gilpin County,24.4,22.4,27.7,37.8,39.2,51.6,60.2,59.6,55.2,34,31.2,25.6
CO-049,Grand County,18.5,18.8,26.1,37.5,40.1,50.9,59.4,58.7,53.5,32.7,29.2,18.9
CO-051,Gunnison County,17.1,17,27.4,37.9,40.7,52.7,60.2,59.7,54.4,35.5,29.9,18.2
CO-053,Hinsdale County,19.1,17.2,26.7,35.1,37.3,49.3,56,55.8,50.6,34.8,30,19.7
CO-055,Huerfano County,29.2,30.9,36.4,46.5,48.5,61.3,69.2,68.1,64.3,43.3,37.7,31.9
CO-057,Jackson County,18.6,18.3,24.7,36.8,39.2,49.9,58.8,57.7,52.6,30.8,28.6,18.7
